"Less Than Jake", "The Avalanche Stage Hosted by Kerrang! Radio Fresh Blood", "Sunday"
"Loathe", "The Dogtooth Stage", "Friday"
"Maine (The)", "The Avalanche Stage Hosted by Kerrang! Radio Fresh Blood", "Saturday"
"Malevolence", "The Dogtooth Stage", "Saturday"
"Marilyn Manson", "Main Stage", "Sunday"
"Marmozets", "Main Stage", "Friday"
"Massive Wagons", "The Dogtooth Stage", "Saturday"
"Mayday Parade", "The Avalanche Stage Hosted by Kerrang! Radio Fresh Blood", "Saturday"
"Meshuggah", "Zippo Encore Stage", "Sunday"
"Milk Teeth", "The Avalanche Stage Hosted by Kerrang! Radio Fresh Blood", "Sunday"
"Miss May I", "The Dogtooth Stage", "Friday"
"Monster Truck", "Main Stage", "Saturday"
"Myke Gray", "The Dogtooth Stage", "Sunday"
"Myrkur", "The Dogtooth Stage", "Sunday"
"Napalm Death", "The Dogtooth Stage", "Friday"
"Neck Deep", "The Avalanche Stage Hosted by Kerrang! Radio Fresh Blood", "Saturday"
"Nikki Cross", "WWE NXT", "Friday"
"No Hot Ashes", "The Dogtooth Stage", "Sunday"
"Nothing More", "Zippo Encore Stage", "Friday"
"Ozzy Osbourne", "Main Stage", "Sunday"
"Parkway Drive", "Zippo Encore Stage", "Saturday"
"Pink Slips (The)", "Main Stage", "Saturday"
"Plini", "The Dogtooth Stage", "Saturday"
"Powerflo", "Zippo Encore Stage", "Saturday"
"Puppy", "The Avalanche Stage Hosted by Kerrang! Radio Fresh Blood", "Sunday"
"Ricochet", "WWE NXT", "Friday"
"Rise Against", "Zippo Encore Stage", "Sunday"
"Rolo Tomassi", "The Dogtooth Stage", "Saturday"
"Savage Messiah", "The Dogtooth Stage", "Friday"
"Shayna Baszler", "WWE NXT", "Friday"
"Shinedown", "Main Stage", "Sunday"
"Shvpes", "The Dogtooth Stage", "Saturday"
"Sleep Token", "The Dogtooth Stage", "Saturday"
"Starcrawler", "Zippo Encore Stage", "Sunday"
"Stick To Your Guns", "The Avalanche Stage Hosted by Kerrang! Radio Fresh Blood", "Friday"
"Stray From The Path", "The Avalanche Stage Hosted by Kerrang! Radio Fresh Blood", "Friday"
"Struts (The)", "Main Stage", "Saturday"
"Sun Arcana", "The Dogtooth Stage", "Sunday"
"TIGRESS", "The Avalanche Stage Hosted by Kerrang! Radio Fresh Blood", "Saturday"
"Temperance Movement (The)", "Main Stage", "Saturday"
"TesseracT", "The Dogtooth Stage", "Friday"
"Thrice", "Zippo Encore Stage", "Sunday"
"Thunder", "Main Stage", "Saturday"
"Thy Art Is Murder", "The Dogtooth Stage", "Saturday"
"Turbonegro", "Zippo Encore Stage", "Sunday"
"Velveteen Dream", "WWE NXT", "Friday"
"Volbeat", "Main Stage", "Friday"
"Von Hertzen Brothers", "Zippo Encore Stage", "Saturday"
"WSTR", "The Avalanche Stage Hosted by Kerrang! Radio Fresh Blood", "Saturday"
"Wayward Sons", "The Dogtooth Stage", "Sunday"
"Whiskey Myers", "Main Stage", "Saturday"
"Woes", "The Avalanche Stage Hosted by Kerrang! Radio Fresh Blood", "Friday"
"You Me At Six", "Zippo Encore Stage", "Friday"
"Zeal & Ardor", "The Dogtooth Stage", "Sunday"
